20 9
#R(AU)	phi(rad)	I	Q	U	V
42.5424 0 0.608273 0.00992429 -9.2385e-16 0
42.5424 0.392699 0.609254 0.0097053 0.000721717 0
42.5424 0.785398 0.612586 0.00917185 0.00115359 0
42.5424 1.1781 0.61563 0.00861316 0.00117168 0
42.5424 1.5708 0.617771 0.00827551 0.000831193 0
42.5424 1.9635 0.618283 0.00828203 0.000314528 0
42.5424 2.35619 0.617386 0.00864579 -0.000105824 0
42.5424 2.74889 0.615221 0.00911904 -0.000204325 0
42.5424 3.14159 0.6146 0.00932905 -6.68939e-16 0
47.9981 0 0.54266 0.00813999 -8.22423e-16 0
47.9981 0.392699 0.543988 0.00799651 0.00048799 0
47.9981 0.785398 0.547347 0.00765772 0.000796548 0
47.9981 1.1781 0.550852 0.00730518 0.000851768 0
47.9981 1.5708 0.552688 0.00707897 0.000680243 0
47.9981 1.9635 0.553025 0.00705034 0.000369181 0
47.9981 2.35619 0.551153 0.00724181 6.77145e-05 0
47.9981 2.74889 0.548661 0.00752189 -5.74217e-05 0
47.9981 3.14159 0.547614 0.00765945 -4.97448e-16 0
54.1534 0 0.481586 0.00645941 -7.28728e-16 0
54.1534 0.392699 0.483011 0.00639788 0.000258676 0
54.1534 0.785398 0.486841 0.00625483 0.000452567 0
54.1534 1.1781 0.490948 0.00610253 0.000555796 0
54.1534 1.5708 0.492717 0.00598051 0.00055528 0
54.1534 1.9635 0.492703 0.00590386 0.000443389 0
54.1534 2.35619 0.489781 0.00591712 0.000259317 0
54.1534 2.74889 0.486544 0.0059988 9.92432e-05 0
54.1534 3.14159 0.485316 0.00604947 -3.40115e-16 0
61.0981 0 0.422749 0.00490596 -6.37465e-16 0
61.0981 0.392699 0.425035 0.00492421 3.47758e-05 0
61.0981 0.785398 0.430151 0.00497891 0.000119908 0
61.0981 1.1781 0.435368 0.00502748 0.000281054 0
61.0981 1.5708 0.437771 0.00499587 0.000453737 0
61.0981 1.9635 0.436706 0.00486379 0.000534183 0
61.0981 2.35619 0.432314 0.00469406 0.000462345 0
61.0981 2.74889 0.427565 0.00458045 0.000258406 0
61.0981 3.14159 0.425377 0.00454971 -1.99179e-16 0
68.9334 0 0.365001 0.00345795 -5.42477e-16 0
68.9334 0.392699 0.368139 0.00356289 -0.000198338 0
68.9334 0.785398 0.375123 0.00382832 -0.000222399 0
68.9334 1.1781 0.38336 0.00409087 9.02449e-06 0
68.9334 1.5708 0.387669 0.00415562 0.000372484 0
68.9334 1.9635 0.384314 0.00394755 0.000651937 0
68.9334 2.35619 0.376566 0.00358096 0.000686592 0
68.9334 2.74889 0.369789 0.00326615 0.000429543 0
68.9334 3.14159 0.366686 0.00314925 -6.93768e-17 0
77.7735 0 0.303376 0.00205011 -4.30842e-16 0
77.7735 0.392699 0.307944 0.00225276 -0.000466944 0
77.7735 0.785398 0.318399 0.00275972 -0.000633168 0
77.7735 1.1781 0.331903 0.00330075 -0.000322742 0
77.7735 1.5708 0.339551 0.0034924 0.000301737 0
77.7735 1.9635 0.332464 0.00316802 0.000840338 0
77.7735 2.35619 0.319205 0.00254927 0.000976999 0
77.7735 2.74889 0.308824 0.00201111 0.000632273 0
77.7735 3.14159 0.304247 0.00180186 5.37885e-17 0
87.7472 0 0.23174 0.000636208 -2.91165e-16 0
87.7472 0.392699 0.235466 0.000903254 -0.000788524 0
87.7472 0.785398 0.248647 0.00165309 -0.00120553 0
87.7472 1.1781 0.269746 0.0025878 -0.000900543 0
87.7472 1.5708 0.2864 0.00308352 0.000221939 0
87.7472 1.9635 0.269868 0.00247581 0.00123975 0
87.7472 2.35619 0.248894 0.00150452 0.00140272 0
87.7472 2.74889 0.235745 0.000748611 0.000877921 0
87.7472 3.14159 0.232034 0.000480331 1.6709e-16 0
99 0 0.145061 -0.000531445 -1.24976e-16 0
99 0.392699 0.145272 -0.000269064 -0.000983501 0
99 0.785398 0.145621 0.000443933 -0.00163937 0
99 1.1781 0.151763 0.00150693 -0.00169553 0
99 1.5708 0.124144 0.00199875 2.02228e-05 0
99 1.9635 0.151689 0.00147094 0.00176198 0
99 2.35619 0.145602 0.000397529 0.0016866 0
99 2.74889 0.145296 -0.000322769 0.00100891 0
99 3.14159 0.145098 -0.000586884 2.26267e-16 0
